AN	An
die	die
art	Art
dz	dass
es	es
die	die
ſchlangen	Schlangen
verjagt	verjagt
võ	von
dẽ	dem
menſchẽ	Menschen
der	der
es	es
bey	bei
im	ihm
tregt	trägt

des	des
waÿſz	weiß
jch	ich
nit	nicht
/	/

aber	aber
jch	ich
weiſz	weiß
dz	das
wol	wohl
dz	dass
es	es
die	die
meiſter	Meister
ziehẽ	ziehen
in	in
irẽ	ihren
gaͤrtlin	Gärtlein
vnd	und
vor	vor
jr	ihrer
ſchlaffkamer	Schlafkammer
zů	zu
pariſz	Paris

vnd	und
ſchmeckt	schmeckt
nit	nicht
vncz	uns
biſz	bis
man	man
es	es
růret	rührt
mit	mit
der	der
hand	Hand
ſo	so
gibt	gibt
er	er
einẽ	einen
ſchmack	Geschmack
der	der
dẽ	dem
herczẽ	Herzen
wol tůt	wohltut

Von	Von
der	der
hauſzwurcz	Hauswurz
⸗	-

Babaionis	Babaionis
heiſt	heißt
hauſzwurcz	Hauswurz

vnd	und
darumbe	darum
pflanczt	pflanzt
man	man
es	es
auff	auf
den	den
heüſern	Häusern
⸗	-

wer	wer
es	es
zů	zu
einẽ	einem
fleiſch	Fleisch
in	in
einen	einen
haffen	Hafen
legt	legt
do	da
macht	macht
es	es
auſz	aus
zweien	zweien
ſtuckenfleiſch	Stücken Fleisch
ein	ein
ſtuck	Stück
/	/
vnd	und
iſt	ist
gůt	gut
wider	wider
die	die
heÿſſen	heißen
apoſteen	Aposteme
⸗	-

¶	¶
Von	Von
dem	dem
pieſſenkraut	Piessenkraut

Becha	Becha
oder	oder
plicus	plicus
heiſt	heißt
pieſſen kraut	Piessenkraut
oder	oder
mangolt	Mangold
vnd	und
iſt	ist
zweierleÿ	zweierlei

eins	eines
hat	hat
gruͤn	grüne
ſtengel	Stängel

vñ	und
das	das
ander	andere
hat	hat
rot	rote
ſtengel	Stängel

vnd	und
das	das
iſt	ist
groͤſſer	größer
vñ	und
beſſer	besser

ÿegkliches	jegliches
hat	hat
preÿtte	breite
pleter	Blätter
als	als
der	der
wegrich	Wegerich
on	ohne
dz	dass
die	die
pieſſen bleter	Piessenblätter
lenger	länger
ſein	sind

das	das
kraut	Kraut
iſt	ist
kalt	kalt
vñ	und
feücht	feucht
in	in
mittelmaſz	Mittelmaß
/	/

vñ	und
darũb	darum
wẽn	wenn
man	man
peterſilÿ	Petersilie
dar zů	dazu
miſcht	mischt
ſo	so
iſt	ist
es	es
geſundt	gesund
zů	zu
eſſen	essen
vnd	und
iſt	ist
waÿch	weich
vnd	und
laͤſt	lässt
ſich	sich
ſanfft	sanft
kochen	kochen
in	in
dem	dem
magen	Magen
wẽn	wenn
man	man
es	es
ſauber	sauber
bereÿt	bereitet
vnd	und
kocht	kocht
in	in
dem	dem
feüer	Feuer
¶	¶

Oamomila	Camomila
heiſt	heißt
gamil	Kamille

vnd	und
das	das
krautt	Kraut
iſt	ist
dreÿerley	dreierlei

das	das
ein	eine
hat	hat
weiſz	weiße
blůmen	Blumen

das	das
drit	dritte
purper	purpurne
farb	Farbe

Das	Das
kraut	Kraut
iſt	ist
heÿſz	heiß
vnd	und
trucken	trocken
als	als
galienus	Galienus
ſpricht	spricht
vnd	und
geleicht	gleicht
der	der
roſen	Rose
an	an
vil	vielen
krefften	Kräften
⸗	-

Es	Es
vertreÿbt	vertreibt
die	die
heyſzſen	heißen
apoſtem	Aposteme
domit	damit
das	dass
es	es
weich	weich
macht	macht
vnd	und
entſchleüſſet	entschleust

¶	¶
Iſt	Ist
das	dass
ein	eine
ſchwangere	schwangere
fraw	Frau
ſich	sich
in	in
Camillen waſſer	Kamillenwasser
ſeczet	setzt
damit	damit
ſÿ	sie
geſotten	gesotten
iſt	ist
ſo	so
czeücht	zieht
ſÿ	sie
ir	ihr
die	die
gepurdt	Geburt
her füre	hervor
mit	mit
dem	dem
pelglin	Bälglein

vnd	und
iſt	ist
gůt	gut
zů	zu
der	der
lenden ſiechtumbe	Lendensiechtum
¶	¶

Von	Von
dem	dem
Zwiuel	Zwiebel

der	der
hat	hat
die	die
art	Art
/	/
das	dass
es	es
vaſt	fast
oͤffnet	öffnet
die	die
genge	Gänge
in	in
die	die
gelider	Glieder
vnd	und
in	in
dem	dem
leib	Leib
vnnd	und
plaͤet	bläht
vnd	und
zeücht	zieht
das	das
plůt	Blut
auſz	aus
vnder	unter
die	die
haut	Haut

darũb	darum
macht	macht
er	er
die	die
haut	Haut
rot	rot
vnd	und
bringet	bringt
ein	eine
gůte	gute
varbe	Farbe

Weñ	Wenn
er	er
nit	nicht
geſoten	gesotten
iſt	ist
oder	oder
geroͤſt	geröstet
ſo	so
hat	hat
er	er
ein	eine
kleine	kleine
narunge	Nahrung
/	/

ÿedoch	jedoch
macht	macht
er	er
boͤſz	böses
plůt	Blut
vñ	und
feücht	feucht
in	in
dem	dem
leib	Leib

darumb	darum
iſt	ist
er	er
der	der
vernunfft	Vernunft
vnd	und
dem	dem
ſÿnn	Sinn
ſchad	Schaden

er	er
oͤffnet	öffnet
die	die
affter adern	Afteradern
die	die
zů	zu
latein	Latein
emoroides	haemorrhoides
heÿſſen	heißen

vñ	und
er	er
wegt	weckt
die	die
vnkeüſch	Unkeusche
/	/

Sein	Sein
waſſer	Wasser
iſt	ist
gůt	gut
für	für
der	der
toͤbigen	töbigen
hund	Hunde
biſz	Bisse
wenn	wenn
man	man
die	die
wunden	Wunden
da mit	damit
ſalbet	salbt
oder	oder
ð	derer
ein	ein
pflaſter	Pflaster
darauſz	daraus
machet	macht
vnd	und
es	es
über bindt	überbindet
⸗	-

¶	¶
Von	Von
dem	dem
kücker kraut	Kückerkraut
⸗	-

Des	Des
kraucz	Krauts
koren	Korn
iſt	ist
lang	lang
vnd	und
ſpiczig	spitzig

vñ	und
ettlich	etlich
kücker	Kücker
iſt	ist
heimiſch	heimisch
etlich	etlich
wild	wild
/	/

des	des
heimiſchen	heimischen
narung	Nahrung
iſt	ist
beſſer	besser
deñ	denn
des	des
wilden	wilden
/	/

ÿedoch	jedoch
ſpeiſet	speist
ſÿ	sie
allermeÿſt	allermeist
dÿe	die
lungen	Lungen
/	/

Wer	Wer
die	die
kückern	Kückern
feücht	feucht
macht	macht
vnd	und
die	die
iſzt	isst
dẽ	denen
pringt	bringt
ſÿ	sie
ein	eine
gůtte	gute
farb	Farbe

vnd	und
ir	ihr
einguſz	Einguss
iſt	ist
gůt	gut
für	für
des	des
zanfleiſches	Zahnfleisches
ſchmerczen	Schmerzen
vnd	und
zů	zu
den	den
heÿſſen	heißen
apoſteem	Apostemen
die	die
hinder	hinter
den	den
oren	Ohren
wachſent	wachsen

vnd	und
darumb	darum
macht	macht
man	man
ſauffen	Saufen
auſz	aus
dem	dem
kücker	Kücker
melb	Mehl
⸗	-

wenn	wenn
man	man
ſÿ	sie
kocht	kocht
ſo	so
ſeind	sind
ſÿ	sie
gůt	gut
für	für
die	die
waſſerſucht	Wassersucht
vñ	und
für	für
die	die
gelſucht	Gelbsucht
/	/

wañ	wann
ſÿ	sie
oͤffent	öffnen
vñ	und
allermeiſt	allermeist
die	die
ſchwarczen	schwarzen
kückern	Kückern
/	/

weñ	wenn
man	man
ſÿ	sie
iſzt	isst
ſo	so
ſol	soll
man	man
ſÿ	sie
des	des
erſtẽ	ersten
nit	nicht
auff	auf
den	den
tiſch	Tisch
tragen	tragen
noch	noch
czů	zu
letſten	letzten
man	man
ſol	soll
ſÿ	sie
in	in
der	der
mitt	Mitte
eſſen	essen
zwiſchen	zwischen
andern	anderen
gerichten	Gerichten
/	/

Der	Der
ſchwarcz	schwarzen
kückern	Kückern
koch waſſer	Kochwasser
vnnd	und
jr	ihr
eſſen	Essen
zerbricht	zerbricht
den	den
ſtein	Stein
in	in
der	der
platern	Blatter
vnd	und
in	in
den	den
nieren	Nieren
/	/
wenn	wenn
man	man
ſÿ	sie
kocht	kocht
mit	mit
mandel oͤl	Mandelöl
vnd	und
mit	mit
rettig	Rettich
vnd	und
mit	mit
epff	Epf

vñ	und
jr	ihr
einguſz	Einguss
ſtercket	stärkt
ð	der
vnkeüſch	Unkeusche
gelider	Glieder
weñ	wenn
man	man
ſÿ	sie
nuͤchter	nüchtern
ſeüfft	säuft
vñ	und
trinckt	trinkt

vnd	und
damit	damit
behůt	behütet
man	man
manig	manch
ee	ehe
der	der
es	es
weiſz	weiß
⸗	-

Die	Die
arbeyſz	Arbeiß
tregt	trägt
vil	viel
über ein	überein
mit	mit
den	den
kichern	Kichern
an	an
den	den
vorgenanten	vorgenannten
wercken	Werken
¶	¶

das	das
reinnigt	reinigt
das	das
haubt	Haupt
vnd	und
ſcherpfft	schärft
das	das
geſicht	Gesicht
¶	¶

Yſiderus	Ysiderus
ſpricht	spricht
das	dass
das	das
kraut	Kraut
der	der
ſchwalben	Schwalben
kraut	Kraut
ſey	sei
/	/

¶	¶
Des	Des
krautes	Krautes
ſafft	Saft
iſt	ist
den	den
augen	Augen
gar	gar
gůt	gut
/	/

wãn	wann
es	es
benimbt	benimmt
die	die
platern	Blattern
in	in
den	den
augen	Augen
vnd	und
die	die
ſcherpffen	scherpen
vnd	und
die	die
weiſſen	weißen
mal	Male
¶	¶

Von	Von
der	der
hundts zungen	Hundszunge

Cÿnogloſa	Cynoglossa
heÿſt	heißt
hundts czungen	Hundszunge
/	/

das	das
kraut	Kraut
iſt	ist
gůt	gut
für	für
den	den
viertaͤglichen	viertäglichen
riten	Ritten
vn	und
ſagt	sagt
das	das
bůch	Buch
zů	zu
latein	Latein
nit	nicht
mer	mehr
da von	davon

ſo	so
vind	find
ich	ich
auch	auch
in	in
anðn	anderen
meinen	meinen
buͤcheren	Büchern
die	die
von	von
den	den
kreüteren	Kräutern
|	|
ſagen	sagen
nit	nicht
mer	mehr
davon	davon
¶	¶

das	das
kraut	Kraut
hat	hat
gar	gar
gruͤne	grüne
rinden	Rinde
vnd	und
hat	hat
inwendig	inwendig
ein	einen
groſſen	großen
loſen	losen
keren	Kern
den	den
heÿſſen	heißen
die	die
meÿſter	Meister
ſein	sein
marck	Mark
¶	¶

vnd	und
die ſelben	dieselbe
art	Art
die	die
des	des
krauts	Krauts
marcke	Mark
in	in
jm	ihm
hat	hat

Von	Von
dem	dem
Erdapffel	Erdapfel

vnnd	und
die	die
pfeden	Fäden
geel	gelb
vnd	und
kreÿſzlet	gekräuselt

an	an
der	der
rinden	Rinde
ÿedoch	jedoch
ſo	so
neñet	nennt
man	man
ſÿ	sie
dick	dick
geleich	gleich
⸗	-

Die	Die
frücht	Früchte
ſeind	sind
all	all
ſchad	Schaden

wann	wann
ſÿ	sie
bringen	bringen
groſz	große
feüchtigkeit	Feuchtigkeit
vnnd	und
feüli	Fäule
in	in
den	den
adern	Adern
vnd	und
groſz	großes
ſiechtumb	Siechtum
darnach	danach
/	/

Sÿ	Sie
leſchent	löschen
auch	auch
den	den
durſt	Durst

vñ	und
ire	ihre
pleter	Blätter
ſeind	sind
gůt	gut
für	für
der	der
tobingen	tobigen
hund	Hunde
biſz	Biss
⸗	-

¶	¶
Von	Von
dem	dem
ſchweinkraut	Schweinekraut
⸗	-

Dictamen	Dictamnus
heÿſt	heißt
ſchweinkraut	Schweinekraut
vñ	und
heÿſt	heißt
auch	auch
panis	panis
porcinus	porcinus

das	das
iſt	ist
als	als
vil	viel
geſprochẽ	gesprochen
als	als
ſchweinbrot	Schweinebrot
/	/

dz	das
kraut	Kraut
iſt	ist
heÿſz	heiß
vnd	und
trucken	trocken
vnd	und
ſein	seine
wurczel	Wurzel
iſt	ist
gůt	gut
zů	zu
ð	der
ercznei	Arznei

Die	Die
wurcz	Wurzel
ſol	soll
man	man
ſpalten	spalten
in	in
vÿer	vier
ſtuck	Stücke
ſo	so
ð	der
herbſt	Herbst
ſchier	schier
ein	ein
end	Ende
nimpt	nimmt
vnd	und
ſol	soll
ſÿ	sie
mit	mit
dẽ	dem
kraut	Kraut
auff bencken	aufbänken
an	an
ein	eine
vinſtre	finstere
ſtat	Statt
oder	oder
da	da
der	der
ſunnen	Sonne
ſchein	Schein
klein	klein
iſt	ist
/	/

die	die
hat	hat
die	die
krafft	Kraft
das	dass
ſÿ	sie
entſchlüczt	entschleust
vnd	und
zeücht	zieht
vnnd	und
iſt	ist
gůt	gut
czů	zu
den	den
afftern adern	Afteradern
die	die
emoroides	haemorrhoides
heÿſſent	heißen

wann	wann
ſÿ	sie
zerſpalten	zerspalten
ſeind	sind
vnd	und
doch	doch
nit	nicht
flieſſent	fließen
⸗	-

Corona	corona
regis	regis
heÿſt	heißt
künig kron	Königskrone
/	/

das	das
kraut	Kraut
hat	hat
vil	viele
pletter	Blätter
auff	auf
einem	einem
ſtengel	Stängel

vnd	und
heÿſt	heißt
in	in
kriechiſch	Griechisch
ÿpiricio	ypiricio
⸗	-

Das	Das
kraut	Kraut
hatt	hat
dÿe	die
art	Art
das	dass
es	es
das	das
hercz	Herz
ſterckt	stärkt
vnddie	und die
leber	Leber
vnd	und
reinigt	reinigt
die	die
nieren	Nieren
vñ	und
heilt	heilt
die	die
geſchwaͤr	Geschwüre
vnd	und
aller meiſt	allermeist
die	die
groſſen	großen
vnreÿnen	unreinen
geſchwaͤre	Geschwüre
die	die
zů	zu
latein	Latein
Anuares	anuares
heÿſſen	heißen
vñ	und
ſůcht	sucht
die	die
vergifft	Vergiftung

Das	Das
kraut	Kraut
heÿſt	heißt
auch	auch
ſant	Sankt
Johans kraut	Johanniskraut
⸗	-

Crocus	crocus
heÿſt	heißt
ſaffran	Safran

das	das
iſt	ist
gar	gar
wolſchmeckendes	wohlschmeckendes
kraut	Kraut
vnd	und
heÿſt	heißt
ſein	seine
blům	Blume
zů	zu
latein	Latein
crocus	crocus
vnd	und
iſt	ist
heyſz	heiß
vnnd	und
trucken	trocken
ebenmaͤſſig	ebenmäßig
⸗	-

Man	Man
ſol	soll
den	den
ſaffran	Safran
hiczen	hitzen
in	in
einem	einem
ſcherben	Scherben
vnd	und
ſoͤll	soll
in	ihn
dãn	dann
pülueren	pulvern
vñ	und
das	das
puluer	Pulver
miſchen	mischen
mit	mit
veiſtem	feistem
waſſer	Wasser

Aber	Aber
man	man
ſol	soll
in	ihn
den	den
leüten	Leuten
nit	nicht
geben	geben
die	die
heyſz	heiß
vnd	und
trucken	trocken
ſeind	sind
vnd	und
die	die
zů	zu
latein	Latein
coleriei	colerici
heÿſſent	heißen

wer	wer
aber	aber
die	die
augen erczneyen	Augenarzneien
will	will
der	der
temperir	temperiere
das	das
puluver	Pulver
mit	mit
einem	einem
eierklar	Eierklar
vnd	und
dunck	tunk
ein	eine
baum wol	Baumwolle
darein	da rein
vnd	und
leg	leg
die	die
in	in
die	die
augen	Augen

Die	Die
baum wol	Baumwolle
heiſt	heißt
zů	zu
latein	Latein
bomber	bomber

davon	davon
kõmbt	kommt
bombaſium	bombasium

weñ	wenn
man	man
ſaffran	Safran
in	in
wein	Wein
trinckt	trinkt
ſo	so
macht	macht
er	er
die	die
leüt	Leute
truncken	trunken
/	/
vñ	und
macht	macht
ſÿ	sie
vil	viel
lachen	lachen
alſo	also
das	dass
ſÿ	sie
nit	nicht
darumb	darum
wiſſent	wissen
das	dass
er	er
dz	das
hercz	Herz
ſterckt	stärkt
vnd	und
froͤlich	fröhlich
macht	macht
⸗	-

Es	Es
ſprechen	sprechen
etlich	etliche
wenn	wenn
man	man
in	ihn
trinck	trinke
das	dass
er	er
etwen	etwa
ſo	so
froͤlilch	fröhlich
mach	mache
das	dass
der	der
mẽſch	Mensch
ſterb	sterbe
⸗	-

wãn	wenn
man	man
in	ihn
jm	im
trãck	Trank
neme	nehme
/	/
ſo	so
fürdert	fördert
er	er
die	die
gepurt	Geburt
auſz	aus
der	der
můter	Mutter
in	in
der	der
frawẽ	Frau

¶	¶
Von	Von
dem	dem
Kürbſz	Kürbis

Cucarbica	Cucarbica
heiſt	heißt
ein	ein
kürbſz	Kürbis

Als	Als
platearius	Platearius
ſpricht	spricht

die	die
ſamen	Samen
die	die
in	in
des	des
krauts	Krauts
feüchtin	Früchte
ſeind	sind
die	die
ſeind	sind
gůt	gut
zů	zu
der	der
ercznei	Arznei
wãn	wenn
ſÿ	sie
geſoten	gesotten
ſeind	sind
⸗	-

Sÿ	Sie
ſein	sind
gůt	gut
zů	zu
der	der
leber verſchopffunge	Leberverstopfung
vnd	und
für	für
etlicher	etlicher
gelider	Glieder
apoſteen	Aposteme
als	als
dÿe	die
pruſt	Brust
iſt	ist
vnd	und
andere	andere
gelider	Glieder
⸗	-

Die	Die
kürbs	Kürbis
iſt	ist
gůt	gut
in	in
ſiechtumb	Siechtum
⸗	-

O	Oh
wee	weh
owe	oh weh
wir	wir
armen	armen
ſünder	Sünder
wie	wie
verzeren	verzehren
wir	wir
vnſer	unsere
blůmen	Blumen
vnd	und
vnſer	unsere
krafft	Kraft
in	in
der	der
vinſtere	Finstere
mit	mit
boſzheÿt	Bosheit

Ach	Ach
vnd	und
aber	aber
ach	ach

wolhin	Wohlhin
falſcheit	Falschheit

du	du
falſcher	falsches
gelüſt	Gelüst
/	/

du	du
haſt	hast
wider	weder
trew	Treue
noch	noch
warheyt	Wahrheit
weder	weder
tugendt	Tugend
nach	noch
krafft	Kraft

hilff	hilf
mir	mir
helfferin	Helferin
auſz	aus
diſem	diesem
ellende	Elend
/	/

Caulis	Caulis
heiſt	heißt
koͤlkraut	Kölkraut

das	das
hot	hat
einen	einen
roten	roten
langen	langen
ſtengel	Stängel
vnd	und
hat	hat
groſſe	große
preite	breite
pleter	Blätter
/	/

Das	Das
kraut	Kraut
iſt	ist
nitt	nicht
gůter	guter
narung	Nahrung
vnnd	und
macht	macht
dickes	dickes
blůt	Blut
vnd	und
blaͤet	bläht
den	den
leibe	Leib
vnd	und
bringt	bringt
vil	viele
ſchmerczen	Schmerzen

Wer	Wer
die	die
koͤl	Köl
recht	recht
kochẽ	kochen
wil	will
/	/
der	der
gieſz	gieß
ir	ihr
erſtes	erstes
waſſer	Wasser
ab	ab
in	in
/	/
ſo	so
ſÿ	sie
deñ	denn
erwallen	erwallen
ſeind	sind

vñ	und
koch	koch
ſÿ	sie
dãn	dann
mit	mit
feiſtem	feistem
fleiſch	Fleisch
vnnd	und
mit	mit
gůten	guten
dingen	Dingen
/	/

ſo	so
wirt	wird
ir	ihre
narung	Nahrung
beſſer	besser

aber	aber
ſÿ	sie
trucknen	trocknen
die	die
zungen	Zungen
vnd	und
bringen	bringen
dẽ	den
ſchlaff	Schlaf
vnd	und
hinderen	hindern
dÿe	die
trunckenheÿt	Trunkenheit
vnnd	und
machen	machen
die	die
ſtȳm	Stimme
klar	klar

wãn	wenn
man	man
koͤl	Köl-
vnd	und
haſelbaum	Haselbaum
pflanczt	pflanzt
zů	zu
weinreben wurczen	Weinrebenwurzeln
/	/
ſo	so
verderben	verderben
ſÿ	sie
die	die
reben	Reben
⸗	-

¶	¶
Von	Von
ſunnen wirbel	Sonnenwirbel
oder	oder
ringel	-ringel

Cicorea	Cicorea
heiſt	heißt
ſunnen wirbel	Sonnenwirbel
oder	oder
etwan	etwa
ringel	-ringel
/	/
vnd	und
heiſt	heißt
auch	auch
zů	zu
latein	Latein
ſolſequium	solsequium
/	/
oder	oder
ſponſa	sponsa
ſolis	solis

das	das
heiſt	heißt
ſunnen braut	Sonnenbraut
/	/

vnd	und
des	des
krauts	Krauts
blům	Blume
heyſt	heißt
dioniſia	dionisia
/	/

die	die
preÿt	breitet
ſich	sich
gegen	gegen
der	der
ſunnen	Sonne
auff	auf
⸗	-

Das	Das
kraut	Kraut
wechſt	wächst
geren	gern
auff	auf
herten	harten
getriben	getriebenen
wegen	Wegen
oder	oder
beÿ	bei
den	den
ſtraſſen	Straßen
Vnnd	Und
hat	hat
auch	auch
gar	gar
einen	einen
herten	harten
ſtenngel	Stängel
⸗	-

vñ	und
ſein	sein
blům	Blum
iſt	ist
plafar	blaufarben
oder	oder
gelfarb	gelbfarben
als	als
ð	der
edel	edele
ſtein	Stein
achãt	Achat 
Das	das
Erſt	erste
Capitel	Kapitel

AEthemiſia	Arthemisia
mater	mater
herbaꝝ	herbarum
Ariuoſa	Arivosa
Ampolata	Ampolata
Britanica	Britanica
Campanaria	Campanaria
Metricaria	Metricaria
minor	minor
latĩe	latine
˖	.

Melenoff	Melenoff
Zantes	Zantes
Thagetes	Thagetes
Leptafelos	Leptafelos
¶	¶

Die	die
wirdigen	würdigen
maiſter	Meister
Auicenna	Avicenna
Diaſcorides	Diascorides
beſchreiben	beschreiben
vns	uns
võ	von
diſem	diesem
kraut	Kraut
vñ	und
ſprechen	sprechen
das	dass
arthemiſia	Arthemisia
ſey	sei
ain	ein
kraut	Kraut
vnd	und
geleicht	gleicht
dẽ	dem
wermůt	Wermut
vnd	und
der	der
ſtabwurcz	Stabwurz
an	an
der	der
geſtalt	Gestalt
/	/
allain	allein
dz	dass
beyfůſz	Beifuß
braitere	breitere
bleter	Blätter
hat	hat
˖	:

Diſes	dieses
kraut	Kraut
hat	hat
lang	lange
ſtengel	Stängel
˖	:

die	die
blůmẽ	Blumen
daran	daran
geleichẽ	gleichen
den	den
camillẽblůmen	Kamillenblumen
˖	:

Vn	und
haiſzt	heißt
darumb	darum
arthemiſia	Arthemisia
˖	:
wañ	wann
der	der
künig	König
Manfolei	Mausoleus
ge	ge
Arthemiſia	Arthemisia
/	/
die	die
wolt	wollte
dz	dass
diſz	dieses
kraut	Kraut
nant	genannt
het	hätte
ain	einen
hauſzfrawẽ	Hausfrauen
die	die
hieſz	hieß
auch	auch
alſo	also
genent	genannt
würde	würde
/	/
vmb	um
tugent	Tugend
willen	willen
die	die
diſe	diese
künigin	Königin
an	an
diſem	diesem
kraut	Kraut
befand	befand
˖	:

Iſidorus	Isidor
in	in
dem	dem
˖	:
xvij	XVII
˖	:
bůch	Buch
genant	genannt
ethimologiaꝝ	Etymologien
ſpricht	spricht
dz	dass
Arthemiſia	Arthemisia
ſey	sei
ain	ein
kraut	Kraut
/	/
vnd	und
ſey	sei
von	von
dem	dem
haidniſchẽ	heidnischen
volck	Volk
dyane	Diana
conſecrieret	konsekriert
worden	worden
/	/
vnd	und
von	von
denẽ	denen
alſo	also
gehaiſſen	geheißen
˖	:
wañ	wann
dyana	Diana
in	in
grecum	Grecum
iſt	ist
als	als
vil	viel
geſprochen	gesprochen
als	als
arthemis	Arthemis
˖	:
/	/
˖	:
¶	¶

Plateariꝰ	Platearius
ſpricht	spricht
˖	:
dz	dass
diſz	dieses
kraut	Kraut
iſt	ist
haiſz	heiß
vnd	und
trucken	trocken
in	in
dem	dem
drittẽ	dritten
grad	Grad
˖	:

¶	¶
Die	die
bleter	Blätter
brauchet	braucht
man	man
in	in
der	der
ercznei	Arznei
/	/
vñ	und
ſelten	selten
die	die
Wurtzel	Wurzel
vnd	und
ſind	sind
gruͤn	grün
beſſer	besser
genüczt	genutzt
dañ	denn
dürr	dürr
¶	¶

Platearius	Platearius
ſpricht	spricht
˖	:
dz	dass
beyfůſz	Beifuß
gůt	gut
ſey	sei
dẽ	den
frawẽ	Frauen
zů	zu
irer	ihrer
ſucht	Sucht
genant	genannt
menſtruum	Menstruum
˖	:

der	der
hilfft	hilft
on	ohne
zweifel	Zweifel
¶	¶

Der	der
maiſter	Meister
Diaſcorides	Diascorides
ſpricht	spricht
˖	:

weliche	welche
fraw	Frau
wee	Weh
mit	mit
ainem	einem
kind	Kind
gat	geht
oder	oder
in	in
arbait	Arbeit
ligt	liegt
ains	eines
kinds	Kindes
/	/
ſeüdet	siedet
ſie	sie
den	den
beyfůſz	Beifuß
mit	mit
wein	Wein
od̉	oder
mit	mit
bier	Bier
vñ	und
den	den
alſo	also
trincket	trinkt
/	/
ſie	sie
geniſzt	genest
zehand	zehand
˖	:

Oder	oder
bindet	bindet
man	man
ir	ihr
dz	das
geſoten	gesottene
kraut	Kraut
an	an
ir	ihr
rechtes	rechtes
diech	Diech
ſie	sie
geniſzet	genest
zehand	zuhand
˖	.

Man	man
ſol	soll
auch	auch
zehand	zuhand
weñ	wenn
das	das
kind	Kind
geborn	geboren
wirt	wird
das	das
kraut	Kraut
abnemen	abnehmen
/	/

ſaumet	säumt
man	man
ſich	sich
des	des
dz	das
braͤcht	brächte
groſſen	großen
ſchaden	Schaden
¶	¶

ſie	sie
wirt	wird
des	des
kindes	Kindes
ſanfft	sanft
ledig	ledig
˖	:
/	/
˖	:

Jtem	Item
wer	wer
d̉	der
beyfuſz wurczel	Beifußwurzel
an	an
ſeinem	seinem
halſz	Hals
tregt	trägt
kain	kein
vergifftig	giftig
tier	Tier
mag	mag
im	ihm
nit	nicht
geſchaden	schaden
˖	:

¶	¶
Vnd	und
ob	ob
ain	ein
vergifftig	giftiges
tier	Tier
ain	ein
ſchaden	Schaden
zugefuͤgt	zugefügt
het	hat
/	/
der	der
trincke	trinke
des	des
ſaffts	Safts
võ	von
beyfuſz	Beifuß
er	er
geniſzt	genest
zehãd	zuhand
˖	:

¶	¶
Die	die
wirdigen	würdigen
maiſter	Meister
ſprechẽ	sprechen
gemainklichen	gemeiniglich
/	/
das	dass
do	da
ſey	sei
zwayer	zweier
hand	Hand
beyfůſz	Beifuß
/	/

der	der
ain	eine
iſt	ist
rot	rot
an	an
dem	dem
ſtile	Stiel
/	/
der	der
and̉	andere
iſt	ist
weiſz	weiß
˖	:

Weret	wärt
aber	aber
die	die
ſucht	Sucht
menſtruum	Menstruum
zelang	zu lang
/	/
ſo	so
ſol	soll
ſie	sie
des	des
weiſſẽ	weißen
beifůſz	Beifußes
bleter	Blätter
ſiedẽ	sieden
in	in
wein	Wein
vñ	und
alſo	also
nüczẽ	nutzen

es	es
vergat	vergeht
ir	ihr
zehand	zuhand
¶	¶

Jtem	Item
beyfůſz	Beifuß
genüczet	genutzt
mit	mit
wein	Wein
macht	macht
wol	wohl
haͤrmẽ	harnen
¶	¶

Diaſcorides	Diascorides
˖	:

Beyfůſz	Beifuß
mit	mit
wein	Wein
geſoten	gesotten
vnd	und
den	den
getruncken	getrunken
vertreibet	vertreibt
alle	alle
die	die
ſucht	Sucht
die	die
do	da
werẽd	wärend
iſt	ist
an	an
der	der
ſtat	Statt
d̉	der
weiber	Weiber
die	die
do	da
kind	Kinder
geberen	gebären
/	/

Jtem	item
wer	wer
der	der
beyfuſz	Beifuß
wurczeln	Wurzeln
v̉ber	über
die	die
thor	Tore
des	des
hauſes	Hauses
legt	legt
oder	oder
hencket	hängt
/	/

dẽ	dem
hauſz	Haus
mag	mag
nichcz	nichts
v̉bels	Übles
od̉	oder
vngeheürigkait	Ungeheuerlichkeit
zůgefuͤgt	zugefügt
werden	werden
¶	¶

Der	der
hochgelert	hochgelehrte
maiſter	Meister
Galienus	Galienus
ſpricht	spricht
˖	:
dz	dass
baide	beide
beyfuſz	Beifuß
rot	rot
vnd	und
weiſz	weiß
gůt	gut
ſey	sei
den	den
frawen	Frauen
genüczt	genutzt
weñ	wenn
es	es
in	in
not	Not
ſey	sei
.	.
Vñ	und
auch	auch
faſt	fast
wol	wohl
bekome	bekomme
den	denen
die	die
den	den
ſtain	Stein
habẽ	haben
in	in
den	den
lenden	Lenden
˖	:

¶	¶
Der	der
maiſter	Meister
Plinius	Plinius
in	in
ſeinẽ	seinem
˖	:
xxv.	XXV.
bůch	Buch
in	in
dem	dem
capitel	Kapitel
Arthemiſia	Arthemisia
ſpricht	spricht
˖	:
das	dass
arthemiſia	Arthemisia
die	die
etwañ	etwan
gehaiſſen	geheißen
iſt	ist
/	/
